Source,Prj_Cde,Site_ID,Staff_Name,Additional_Personnel,Date,TimeStart,ExtraTimeEnd,Survey_duration_minutes,Year,Survey_design,Number_of_observers,Site_field_notes,All_species_recorded,Cloud_cover,Wind_strength,Temperature(C),Scientific_Name,English_Name,Birdlife_bird_count,Bird_within_survey_area,Birdlife_field_notes,Max_dist_from_start,TIME 1ST CONTACT,CCWA_TIME 2ND CONTACT,CCWA_Latitude,CCWA_Longitude,CCWA_Order,CCWA_SiteSurveyNumber,CCWA_CumulativeSpeciesCount
2014-15Expt,DARW,CDR_036,Chris Wilder,,2014/09/05,13:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Barnardius zonarius,Australian Ringneck,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_036,Chris Wilder,,2014/09/05,13:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Acanthiza apicalis,Inland Thornbill,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_036,Chris Wilder,,2014/09/05,13:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_036,Chris Wilder,,2014/09/05,13:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Leaves,,Glyciphila melanops,Tawny-crowned Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_036,Boyd Wykes,,2014/09/05,15:02,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,3,Calm,,Acanthiza apicalis,Inland Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_036,Liz Fox,,2014/09/05,16:25,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Lichenostomus virescens,Singing Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_036,Liz Fox,,2014/09/05,16:25,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,4,Leaves,,Purnella albifrons,White-fronted Honeyeater,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Frank O'Connor,,2014/09/05,13:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,8,Leaves,,Acanthiza apicalis,Inland Thornbill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Frank O'Connor,,2014/09/05,13:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,8,Leaves,,Purnella albifrons,White-fronted Honeyeater,22,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Stewart Ford,,2014/09/05,15:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Acanthiza apicalis,Inland Thornbill,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Stewart Ford,,2014/09/05,15:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Smicrornis brevirostris,Weebill,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Stewart Ford,,2014/09/05,15:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Purnella albifrons,White-fronted Honeyeater,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Chris Wilder,,2014/09/05,16:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Colluricincla harmonica,Grey Shrike-thrush,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Chris Wilder,,2014/09/05,16:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Acanthiza apicalis,Inland Thornbill,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Chris Wilder,,2014/09/05,16:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Certhionyx variegatus,Pied Honeyeater,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Chris Wilder,,2014/09/05,16:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Purnella albifrons,White-fronted Honeyeater,50,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Frank O'Connor,,2014/09/05,13:50,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,8,Leaves,,Drymodes brunneopygia,Southern Scrub-robin,3,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Stewart Ford,,2014/09/05,15:00,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,6,Twigs,,Drymodes brunneopygia,Southern Scrub-robin,2,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_037,Chris Wilder,,2014/09/05,16:20,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5,Leaves,,Drymodes brunneopygia,Southern Scrub-robin,1,Within survey limits,,,,,,,,,
2014-15Expt,DARW,CDR_038,Boyd Wykes,,2014/09/05,13:51,,20,2014,"Birdlife 2 ha, 20 minute search",1,,,5.5,Calm,,Oreoica gutturalis,Crested Bellbird,1,Within survey limits,,,,,,,,,
