OID_,Prj_Cde,Site_Code,GlobalID,MGA_Zone,Easting_MGA,Northing_MGA,Latitude_GDA2020,Longitude_GDA2020,NVIS_Maj_Veg_Subgroup,PrjTargtID,TargetID,TargetName_DB,TargetName,Establishment_Date,last_edited_date,Location,Monumentation,Comments,Baiting___Feral_Predators,Baiting___Grooming_Traps,Baiting___Pigs,Baiting___Rabbits,Bird_Survey,Motion_Camera_Survey,Native_Fauna_Trapping,Sand_Pad_Survey,Nestbox_Survey,Vegetation_Monitoring___Photo_Points,Vegetation_Monitoring___Tree_Health_Quadrat,Vegetation_Monitoring___Quadrat_Species,Vegetation_Monitoring___Vegetation_Intercept,Legacy_PropDB_Site_ID
846,DARW,CDR_001,{CF74A49E-A591-4664-AF2B-8F8367E44955},50,507441.005899999989197,6742875.491700000129640,-29.44348932,117.076726209000071,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Greenstone Hills,20/08/2005 0:00,22/08/2022 1:23,NE boundary corner of reserve. 5.8 km N of Vermin Proof Fence along boundary fence. Site located 100 m W and 50 m S of NW corner.,1 tagged picket,"Drainage flows are incising into hardpan of interfluce edge becauyse of obstructions within drainage line caused by fallen timber (see photos). Also lateral stripping back into interfluve. Increasingly 'leaky' system being bypassed to immediate east. 
? Filter or walk away (cost ?).
Fertile, eroding fine textured soil. Photos N, E. transect, west-east side, west side also unstable, broadle so, stripped.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,No,1501
847,DARW,CDR_002,{FD88A485-A223-47FF-BBDF-CE22CBCA066E},50,507651.005899999989197,6742312.491600000299513,-29.44856933,117.078895503000012,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Yalgoo Shrublands,20/08/2006 0:00,22/08/2022 1:23,NE corner of reserve. 5.2 km N of Vermin Proof Fence along boundary fence. Site approx 50 m W of fence.,"1 tagged picket & 1 dropper, 50m apart"," Site is virtually along contour, not (illegible….) (for LFA)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1507
848,DARW,CDR_003,{B5DE99F9-CB3B-4FD3-ACF2-0BE56A6ECBD4},50,507637.005899999989197,6741426.491600000299513,-29.45656588,117.078757313000096,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Yalgoo Shrublands,20/08/2006 0:00,22/08/2022 1:23,NE corner of reserve.  4.3 km N of Vermin Proof Fence along boundary fence. Site approx 250 m W of fence.,"1 tagged picket & 1 dropper, 50m apart","~160 deg. Is upslope with groving pattern, but stony.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,No,1509
849,DARW,CDR_004,{C27861FC-A896-4529-BBB4-83BE99531D0D},50,507981.005899999989197,6740788.491700000129640,-29.4623219,117.082309490000057,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Greenstone Hills,20/08/2006 0:00,22/08/2022 1:23,NE corner of reserve. 3.3 km N of Vermin Proof Fence along boundary fence. Site approx 50 m W of fence.,"1 tagged picket & 1 dropper, 50m apart","Goat browse lines on Erm old, E. opp. Site is now largely stroipped of topsoil and partially restabilised. Decreased specoies that could recruit with goat control: Erm old. E. opp, Ptilotus obovat., scaevola spinescens. Goat activity obvious, but no recent severe impacts.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1508
850,DARW,CDR_005,{E21D0D8F-A394-4DCC-B74E-1BBD25EB304F},50,508003.005899999989197,6740291.491600000299513,-29.46680735,117.082540011000106,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Greenstone Hills,1/08/2005 0:00,22/08/2022 1:23,NE corner of reserve. 3 km N of Vermin Proof Fence along boundary fence.  Site located 50 m W of fence.,"2 pickets, tagged.","Mer geo, Rha ere, Scv spi very heavily grazed down.  Goat ghetto on top of breakaway (usually a rare flora habitat.)  Very heavy damage on many/most shrubs.
Eriostemon collected.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1068
851,DARW,CDR_006,{3A35D35D-69CD-4F33-B52E-D0A71C7E8AAB},50,507457.005899999989197,6739996.491700000129640,-29.46947319,117.076910785000109,21 - Other Acacia tall open shrublands and [tall] shrublands,DARW_T06,T06,Yalgoo Shrublands,Greenstone Hills,20/08/2005 0:00,22/08/2022 1:23,NE of Julia Mine up on ridge above it.,"1 dropper, back on west edge of grid rubble","Very heavy goat damage on subcanopy, caluycopeplus, Mirbelia and heavy grazing of Erm lat., ptilotus ?drummondii - bonsai'd (goats and rabbits), Eriostemon bruceii, Hbb. ?exasp. is also heavily grazed.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1510
852,DARW,CDR_007,{6DA85253-C7AC-4D96-A30E-71B5ADE51007},50,507703.005799999984447,6738587.491600000299513,-29.48218837,117.079457917000013,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Greenstone Hills,1/08/2005 0:00,22/08/2022 1:23,1.1 km N of Vermin Proof Fence along eastern boundary fence. Site located approx 30 m W of track.,"2 permanent pickets, tagged","Acacia ?kochii present, incl juvenilles.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1069
853,DARW,CDR_008,{40C20606-B003-41C4-9A0E-737CBE97B052},50,507868.005799999984447,6738096.491700000129640,-29.48661877,117.081163452000055,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Yalgoo Shrublands,1/08/2005 0:00,22/08/2022 1:23,500 m N of Vermin Proof Fence along eastern boundary. Site approx 70 m W of track.,"2 permanent pickets, tagged","Understorey virtually devoid of 'decreaser' species.  Landscape is leaky with much mobile litter.  Soil sheeting historically; root exposure. Rilling.
Dead grass - ?Monocather paradoxa
Mantle and litter being moved downslope in contour bands - leaky landscape",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1070
854,DARW,CDR_009,{F6C17D58-1D98-440E-BF8E-8999B722BFFA},50,508390.005699999979697,6736967.491600000299513,-29.49680493,117.086556868000116,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Yalgoo Shrublands,20/08/2005 0:00,22/08/2022 1:23,8.2 km N of 7 Mile Well on track to Xmas Well. Site approx 50 m W of track.,"2 permanent pickets, tagged","Decreasers, Maireana planifolia, Enchylaena tomentosa, Scaevola spinescens.",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1511
855,DARW,CDR_010,{559504FA-D71D-4152-A187-35AF66959F4E},50,507017.005799999984447,6736495.491600000299513,-29.50107333,117.072395129000029,32 - Other shrublands,DARW_T06,T06,Yalgoo Shrublands,Low Granite Hills,1/01/2008 0:00,22/08/2022 1:23,6.7 km N of 7 Mile Well on track to Xmas Well. Site approx 50 m W of track.,"2 permanent pickets, tagged",Acacia Lochii common (Prinity?),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,Yes,1512
