OID_,Site_Longitude_GDA2020,Site_Latitude_GDA2020,Prj_Cde,Site_ID,Unlisted_site,Site_TargetName,Staff_Name,Additional_Personnel,Date,Year,Survey_design,All_species_recorded,Water_level,Location_accuracy,Location_name,Observers,Site_field_notes,Wind_strength,Cloud_cover,Feeding_resources,Moisture_conditions,Unidentified_species,Number_of_observers,Predefined_BHA_survey_site,Survey_duration_minutes,All_flyovers_distinguished,Max_dist_from_start,Birds_outside_survey_limit,Embedded_survey_end_time,Embedded_survey_end_time_UTC,Birdlife_bird_count,Breeding_activity,Birdlife_field_notes,Bird_within_survey_area,Birdlife_species,Scientific_Name,English_Name,Birdlife_species_not_on_list,Birdlife_Filter_List_Species,Flyover,Legacy_Prop_DB_Distance,GlobalID,Parent_ID,Birdlife_Child_method,Site_MGA_Zone,Site_POINT_X,Site_POINT_Y,Site_NVIS_Maj_Veg_Subgroup,Site_PrjTargtID,Site_TargetID,Method,UTC_offset,Data_source,Data_Notes,Device_Longitude_GDA2020,Device_Latitude_GDA2020,Survey123_Edit_Link,created_date_UTC
14323,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,1,None,,Outside survey limits but within 500m of site,9523,Pachycephala rufiventris,Rufous Whistler,,Project,,,{A364D316-87CE-48F8-BA5D-1CDCB3CCA3D9},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14324,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,1,None,,Outside survey limits but within 500m of site,9244,Cacatua galerita,Sulphur-crested Cockatoo,,Project,,,{93D8F9A5-AE2C-41E7-B497-224DEE10B7B5},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14325,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,1,None,,Within survey limits,9681,Carduelis carduelis,European Goldfinch,,Project,,,{29AC3C2C-0C28-402F-9D6E-273ACC875C94},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14326,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,1,None,,Outside survey limits but within 500m of site,9557,Corvus coronoides,Australian Raven,,Project,,,{53A27354-A329-4DB4-8AE2-3F365484A601},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14327,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,1,None,,Outside survey limits but within 500m of site,9573,Grallina cyanoleuca,Magpie-lark,,Project,,,{A17067F3-6297-4458-9A29-43FF221517E0},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14328,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,1,None,,Outside survey limits but within 500m of site,9419,Pardalotus striatus,Striated Pardalote,,Project,,,{62910E6E-1AF5-4C69-8D66-5A3517B8DC3C},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14329,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,2,None,,Within survey limits,9672,Anthus novaeseelandiae,Australian Pipit,,Project,,,{E0A82EA1-9048-4963-A30C-62170CD9A4E7},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14330,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,2,None,,Within survey limits,9406,Acanthiza reguloides,Buff-rumped Thornbill,,Project,,,{C64F4E9B-E57A-455E-B824-7C4832200927},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14331,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,2,None,,Within survey limits,9404,Acanthiza chrysorrhoa,Yellow-rumped Thornbill,,Project,,,{36FD51B4-9CDB-4A77-8728-8279F2C6CE5C},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
14332,,,SCOT,,,,Donna Belder,,2022-10-14 09:17:00,2022,"Birdlife 2 ha, 20 minute search",Yes,Dry,Within survey area,YB reveg,DB4160,New site in yellow box reveg area,Twigs,3.000000000000000,,,,1,No,20,,,,,,2,None,,Outside survey limits but within 500m of site,9079,Aquila audax,Wedge-tailed Eagle,,Project,,,{F3AF9922-03ED-4BCB-8C84-951834C60421},{237A5386-6572-4A47-B81D-52C780783442},M05.050,,,,,,,M05.050,11.000000000000000,,"As of 7/8/23, usage of the field 'All_species_recorded' was stopped. The form was changed to instead include the field 'Unidentified_species'",149.140498303000072,-35.916194621999978,<a href=""arcgis-survey123://?itemID=5175802f5b134630af8bf5460b5725f0&folder=inbox&filter=GlobalID:237A5386-6572-4A47-B81D-52C780783442"">Edit in Survey123</a>,15/10/2022 22:17:18
