scientific_name,english_name,canonical_name,kingdom,phylum,order,family,genus,species,rank,status,match_type,introduced,invasive,FamilyCommonName,OrderSort,FamilySort
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,Animalia,Chordata,Passeriformes,Meliphagidae,Acanthagenys,Acanthagenys rufogularis,SPECIES,ACCEPTED,EXACT,,,Honeyeaters and Chats,22,8
Acanthiza apicalis,Inland Thornbill,Acanthiza apicalis,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza apicalis,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza chrysorrhoa,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza ewingii,Tasmanian Thornbill,Acanthiza ewingii,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza ewingii,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza inornata,Western Thornbill,Acanthiza inornata,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza inornata,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza iredalei,Slender-billed Thornbill,Acanthiza iredalei,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza iredalei,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza iredalei iredalei,Slender-billed Thornbill (western subsp),Acanthiza iredalei iredalei,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza iredalei,SUBSPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza lineata,Striated Thornbill,Acanthiza lineata,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza lineata,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza nana,Yellow Thornbill,Acanthiza nana,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza nana,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza pusilla,Brown Thornbill,Acanthiza pusilla,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza pusilla,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza reguloides,Buff-rumped Thornbill,Acanthiza reguloides,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza reguloides,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza robustirostris,Slaty-backed Thornbill,Acanthiza robustirostris,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza robustirostris,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthiza sp.,Unidentified Thornbill,Acanthiza,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,,GENUS,ACCEPTED,HIGHERRANK,,,Thornbills and Gerygones,22,10
Acanthiza uropygialis,Chestnut-rumped Thornbill,Acanthiza uropygialis,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthiza,Acanthiza uropygialis,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Acanthorhynchus superciliosus,Western Spinebill,Acanthorhynchus superciliosus,Animalia,Chordata,Passeriformes,Meliphagidae,Acanthorhynchus,Acanthorhynchus superciliosus,SPECIES,ACCEPTED,EXACT,,,Honeyeaters and Chats,22,8
Acanthorhynchus tenuirostris,Eastern Spinebill,Acanthorhynchus tenuirostris,Animalia,Chordata,Passeriformes,Meliphagidae,Acanthorhynchus,Acanthorhynchus tenuirostris,SPECIES,ACCEPTED,EXACT,,,Honeyeaters and Chats,22,8
Acanthornis magna,Scrubtit,Acanthornis magna,Animalia,Chordata,Passeriformes,Acanthizidae,Acanthornis,Acanthornis magna,SPECIES,ACCEPTED,EXACT,,,Thornbills and Gerygones,22,10
Accipiter cirrocephalus,Collared Sparrowhawk,Accipiter cirrocephalus,Animalia,Chordata,Accipitriformes,Accipitridae,Accipiter,Accipiter cirrocephalus,SPECIES,ACCEPTED,EXACT,,,"Eagles, Kites, Goshawks and Osprey",16,2
Accipiter fasciatus,Brown Goshawk,Accipiter fasciatus,Animalia,Chordata,Accipitriformes,Accipitridae,Accipiter,Accipiter fasciatus,SPECIES,ACCEPTED,EXACT,,,"Eagles, Kites, Goshawks and Osprey",16,2
Accipiter novaehollandiae,Grey Goshawk,Accipiter novaehollandiae,Animalia,Chordata,Accipitriformes,Accipitridae,Accipiter,Accipiter novaehollandiae,SPECIES,ACCEPTED,EXACT,,,"Eagles, Kites, Goshawks and Osprey",16,2
Acrocephalus australis,Australian Reed-Warbler,Acrocephalus australis,Animalia,Chordata,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus australis,SPECIES,ACCEPTED,EXACT,,,Reed-Warblers,22,40
Acrocephalus orientalis,Oriental Reed-Warbler,Acrocephalus orientalis,Animalia,Chordata,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus orientalis,SPECIES,ACCEPTED,EXACT,,,Reed-Warblers,22,40
Acrocephalus stentoreus,Clamorous Reed Warbler,Acrocephalus stentoreus,Animalia,Chordata,Passeriformes,Acrocephalidae,Acrocephalus,Acrocephalus stentoreus,SPECIES,ACCEPTED,EXACT,,,Reed-Warblers,22,40
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Animalia,Chordata,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,SPECIES,ACCEPTED,EXACT,,,"Snipe, Sandpipers, Godwits, Curlew, Stints and Phalaropes",11,9
Aegotheles cristatus,Australian Owlet-nightjar,Aegotheles cristatus,Animalia,Chordata,Apodiformes,Aegothelidae,Aegotheles,Aegotheles cristatus,SPECIES,ACCEPTED,EXACT,,,Owlet-nightjars,9,3
Aerodramus terrareginae,Australian Swiftlet,Aerodramus terraereginae,Animalia,Chordata,Apodiformes,Apodidae,Aerodramus,Aerodramus terraereginae,SPECIES,ACCEPTED,FUZZY,,,Swifts and Swiftlets,9,4
Ailuroedus crassirostris,Green Catbird,Ailuroedus crassirostris,Animalia,Chordata,Passeriformes,Ptilonorhynchidae,Ailuroedus,Ailuroedus crassirostris,SPECIES,ACCEPTED,EXACT,,,Bowerbirds and Catbirds,22,4
