OID_,Prj_Cde,Site_Code,GlobalID,MGA_Zone,Easting_MGA,Northing_MGA,Latitude_GDA2020,Longitude_GDA2020,NVIS_Maj_Veg_Subgroup,PrjTargtID,TargetID,TargetName,Establishment_Date,last_edited_date,Location,Monumentation,Comments,Status,2020 fire impact,2020 fire severity,Revegetation zone,Baiting___Feral_Predators,Baiting___Grooming_Traps,Baiting___Pigs,Baiting___Rabbits,Bird_Survey,Motion_Camera_Survey,Native_Fauna_Trapping,Sand_Pad_Survey,Nestbox_Survey,Vegetation_Monitoring___Photo_Points,Vegetation_Monitoring___Tree_Health_Quadrat,Vegetation_Monitoring___Quadrat_Species,Vegetation_Monitoring___Vegetation_Intercept,Legacy_PropDB_Site_ID
4400,SCOT,Rsc001,{E9F9F23E-F2B5-4F80-92E2-9F3E1190832B},55,691342.525099999969825,6023846.415400000289083,-35.91099246,149.120484791000081,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2883
4401,SCOT,Rsc002,{E5220480-5987-480E-988C-FEA3A8A44EA9},55,691602.525099999969825,6023896.415400000289083,-35.91049106,149.123352330000102,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2884
4402,SCOT,Rsc003,{9555652B-7C43-4C4F-8591-FC1EE7EF7B4B},55,691604.525200000032783,6024685.415400000289083,-35.90338187,149.123184487000117,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2885
4403,SCOT,Rsc004,{90DF982C-57A6-44F6-A5DF-9CF20496D0FF},55,691487.525200000032783,6024456.415400000289083,-35.90546805,149.121943903000101,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2886
4404,SCOT,Rsc005,{B12EB832-35D2-474E-98E3-D61448AFB6B6},55,691220.525200000032783,6025055.415400000289083,-35.90012335,149.118843072000118,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2887
4405,SCOT,Rsc006,{1E33458E-95F7-4385-8FC6-9C8282B6C0F7},55,691174.525299999979325,6024789.415400000289083,-35.90252898,149.118397569000081,Eucalyptus open forests with a grassy understorey,SCOT_T01,T01,Grassy Box-Gum Woodlands,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2888
4406,SCOT,Rsc007,{10E7858A-0DDD-4669-B182-7A7BE3796F77},55,691427.525400000042282,6025834.415400000289083,-35.89306415,149.120948035000083,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2889
4407,SCOT,Rsc008,{048AA876-8888-4F46-9F64-5BC99A903889},55,691288.525400000042282,6026130.415400000289083,-35.8904244,149.119337804000111,Eucalyptus open forests with a grassy understorey,SCOT_T03,T03,Shrubby Eucalypt Woodland,3/03/2018 0:00,3/07/2023 6:02,Macropod scat survey site,,Macropod scat survey site,Active,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,Unknown,Unknown,Unknown,No,2890
4408,SCOT,Rsc009,{3DE4421A-042F-48CF-9C2B-63D7F4447040},55,692598.525099999969825,6024146.415199999697506,-35.90804295,149.134322691000079,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,3/03/2018 0:00,3/07/2023 5:49,Macropod scat survey site,,Macropod scat survey site,Active,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,2891
4409,SCOT,SCOT_0042,{457A8226-EC1B-4A9E-B028-27CB17396E64},55,693352.931899999966845,6025067.645800000056624,-35.89959402,149.142453752000051,Other tussock grasslands,SCOT_T01,T01,Grassy Box-Gum Woodlands,,1/11/2023 23:14,,,This site was imported from ArcGIS Online from the point layer 'site_locations_0' within the feature layer 'camera locations'. The original OBJECTID was 1. The original 'ID' as it was prescribed by Brett Howland at time of creation was 1. The original GlobalID was 660aa877-3b53-4f0a-8819-74edfd672a8a. These are former small mammal camera monitoring sites.,Decommissioned,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,
